  day,George Washington University Hospital_admissions,Hadley Memorial Hospital_admissions,Howard University Hospital_admissions,MedStar Georgetown University _admissions,Sibley Memorial Hospital_admissions,Providence Hospital_admissions,United Medical Center_admissions,MedStar Washington Hospital Center_admissions,Other D.C. Hospitals_admissions,Virginia_admissions,Meritus Medical Center_admissions,University of Maryland Medical Center_admissions,Prince George's Hospital Center_admissions,Holy Cross Hospital_admissions,Frederick Memorial Hospital_admissions,Mercy Medical Center_admissions,Johns Hopkins Hospital_admissions,Dorchester (UMSRH)_admissions,St. Agnes Hospital_admissions,Sinai Hospital of Baltimore_admissions,White Oak Medical Center_admissions,Garrett Memorial Hospital (WVU)_admissions,Montgomery Medical Center (MedStar)_admissions,Peninsula Regional Medical Center_admissions,Suburban Hospital_admissions,Anne Arundel Medical Center_admissions,Union Memorial Hospital (MedStar)_admissions,Western Maryland Medical Center (UPMC)_admissions,St. Mary's Hospital_admissions,Johns Hopkins Bayview Medical Center_admissions,Chestertown (UMSRH)_admissions,Carroll Hospital Center_admissions,Harbor Hospital (MedStar)_admissions,Charles Regional (UM)_admissions,Easton (UMSRH)_admissions,UMM Center Midtown Campus (acute) (Formerly Maryland General)_admissions,Calvert Memorial Hospital_admissions,Northwest Hospital_admissions,Baltimore Washington Medical Center_admissions,Greater Baltimore Medical Center_admissions,Howard County General Hospital (JHM)_admissions,Doctors Community Hospital_admissions,Greater Laurel_admissions,Good Samaritan Hospital (MedStar)_admissions,Shady Grove Adventist Hospital_admissions,Fort Washington Hospital_admissions,Atlantic General Hospital_admissions,Southern Maryland Hospital (MedStar)_admissions,St. Joseph's (UM)_admissions,Holy Cross Germantown_admissions,Queenstown Emergency Center_admissions,Franklin Square (MedStar)_admissions,Grace Medical Center_admissions,Union Hospital of Cecil County_admissions,Upper Chesapeake Medical Center (UMUCH)_admissions,Edward McCready Memorial Hospital_admissions,Harford Memorial Hospital (UMUCH)_admissions
1/21/2021,3.958064516,9.051612903,5.1,3.777419355,2.3,2.958064516,4.987096774,5.206451613,0.396774194,114.4096774,3.806451613,4.170967742,4.229032258,11.00645161,6.758064516,2.95483871,6.429032258,0.909677419,6.222580645,3.393548387,4.316129032,0.358064516,3.777419355,4.84516129,8.306451613,11.03870968,3.393548387,1.203225806,2.964516129,4.116129032,0.783870968,4.590322581,2.887096774,5.187096774,1.693548387,1.022580645,3.235483871,2.616129032,9.293548387,4.958064516,12.23225806,6.061290323,3.496774194,3.74516129,10.97419355,5.14516129,6.316129032,4.938709677,6.035483871,4.203225806,1.525806452,6.977419355,1.248387097,2.548387097,6.832258065,0.290322581,2.329032258
1/22/2021,4.1,8.332258065,4.580645161,3.935483871,1.996774194,3.738709677,4.396774194,6.1,0.377419355,115.2,3.706451613,3.916129032,4.712903226,8.64516129,6.687096774,2.761290323,5.716129032,0.674193548,6.722580645,3.683870968,5.1,0.490322581,3.951612903,5.241935484,8.370967742,11.01290323,3.029032258,0.696774194,3.341935484,4.109677419,1.1,4.5,3.361290323,5.95483871,1.870967742,1.461290323,2.748387097,3.364516129,9.212903226,4.790322581,12.27741935,6.458064516,3.348387097,3.474193548,11.70967742,4.903225806,6.219354839,4.870967742,4.990322581,4.851612903,0.993548387,8.116129032,1.419354839,2.570967742,6.293548387,0.261290323,1.487096774
1/23/2021,4.45483871,8.732258065,5.158064516,4.003225806,2.290322581,2.867741935,4.341935484,6.238709677,0.312903226,117.9193548,2.922580645,4.032258065,5.329032258,8.980645161,7.258064516,3.051612903,6.383870968,0.619354839,6.583870968,3.396774194,5.138709677,0.277419355,3.732258065,4.709677419,8.64516129,10.20322581,3.296774194,1.016129032,3.238709677,4.551612903,0.612903226,4.732258065,3.638709677,5.935483871,1.570967742,1.380645161,2.841935484,3.119354839,8.816129032,5.387096774,12.73548387,6.338709677,3.35483871,3.390322581,11.32258065,5.358064516,5.883870968,4.632258065,5.341935484,4.441935484,1.170967742,7.358064516,1.048387097,2.277419355,4.829032258,0.170967742,1.906451613
1/24/2021,4.203225806,8.977419355,5.6,4.141935484,2.964516129,3.825806452,4.325806452,5.467741935,0.24516129,118.8322581,3.241935484,3.74516129,4.796774194,9.170967742,7.096774194,3.112903226,6.851612903,0.596774194,6.6,3.432258065,4.074193548,0.338709677,4.606451613,4.922580645,8.803225806,9.7,3.367741935,1.05483871,3.24516129,3.464516129,0.9,4.861290323,3.803225806,5.467741935,1.916129032,1.222580645,3,2.967741935,9.95483871,4.722580645,11.81935484,6.251612903,3.109677419,2.674193548,10.73548387,4.816129032,5.848387097,5.480645161,5.477419355,4.425806452,0.916129032,7.767741935,1.583870968,2.187096774,6.041935484,0.193548387,1.632258065
1/25/2021,4.561290323,8.822580645,4.858064516,3.761290323,2.951612903,3.261290323,4.051612903,6.577419355,0.235483871,120.4548387,2.806451613,4.029032258,4.248387097,10.00322581,6.616129032,3,6.219354839,0.938709677,5.7,2.987096774,4.34516129,0.496774194,3.309677419,4.719354839,8.416129032,11.32258065,3.170967742,1.035483871,3.535483871,3.825806452,0.835483871,4.612903226,3.503225806,5.35483871,2.516129032,1.312903226,2.306451613,2.635483871,8.135483871,5.34516129,11.38709677,5.874193548,2.977419355,3.235483871,10.73548387,4.796774194,5.803225806,4.625806452,5.1,4.709677419,0.806451613,7.741935484,1.361290323,1.861290323,6.635483871,0.177419355,1.606451613
1/26/2021,3.983870968,8.322580645,4.958064516,4.425806452,2.319354839,3.270967742,4.85483871,6.267741935,0.209677419,118.0193548,3.196774194,4.14516129,4.748387097,9.409677419,6.019354839,2.887096774,6.658064516,0.806451613,5.883870968,3.116129032,4.896774194,0.509677419,4.35483871,4.3,8.816129032,11.85483871,3.329032258,0.819354839,2.838709677,3.603225806,1.106451613,4.487096774,3.551612903,5.225806452,2.1,1.174193548,2.658064516,2.887096774,9.841935484,4.458064516,12.41612903,6.112903226,3.503225806,2.84516129,10.6516129,4.806451613,5.909677419,4.990322581,5.519354839,4.741935484,1.319354839,7.738709677,1.25483871,2.24516129,6.616129032,0.203225806,1.593548387
1/27/2021,4.441935484,8.996774194,4.716129032,4.058064516,2.193548387,3.929032258,4.280645161,5.787096774,0.387096774,121.8064516,3.290322581,3.648387097,4.048387097,10.05483871,6.403225806,2.525806452,6.351612903,0.525806452,5.819354839,2.809677419,4.5,0.325806452,4.283870968,4.367741935,9.083870968,11.22903226,2.922580645,1.183870968,3.15483871,3.983870968,1.096774194,4.867741935,3.522580645,5.516129032,1.990322581,1.325806452,3.419354839,2.812903226,9.025806452,5.216129032,12.18064516,6.135483871,3.429032258,3.303225806,9.925806452,4.638709677,5.280645161,4.690322581,5.419354839,4.648387097,0.877419355,6.848387097,1.293548387,2.122580645,6.174193548,0.190322581,1.406451613
1/28/2021,4.564516129,9.219354839,4.867741935,4.696774194,2.609677419,3.75483871,4.177419355,5.993548387,0.274193548,122.216129,3.225806452,3.706451613,4.251612903,8.858064516,6.735483871,2.658064516,5.712903226,0.719354839,6.358064516,3.129032258,4.167741935,0.370967742,3.741935484,4.548387097,9.04516129,10.45483871,3.135483871,1.032258065,3.687096774,3.980645161,0.751612903,4.422580645,3.490322581,5.45483871,1.851612903,1.225806452,2.964516129,2.993548387,9.606451613,5.067741935,11.90967742,6.432258065,3.393548387,3.15483871,10.55806452,4.993548387,5.761290323,4.980645161,4.503225806,4.077419355,1.051612903,7.45483871,1.229032258,2.035483871,6.2,0.148387097,1.680645161
1/29/2021,4.251612903,8.767741935,5.267741935,4.177419355,2.232258065,3.564516129,4.283870968,6.35483871,0.412903226,119.3645161,2.951612903,3.416129032,4.438709677,9.716129032,6.322580645,2.996774194,6.258064516,0.603225806,6.203225806,3.022580645,4.458064516,0.425806452,4.032258065,4.667741935,8.741935484,10.89354839,3.293548387,1.177419355,2.887096774,4.148387097,1.012903226,4.432258065,3.496774194,5.65483871,1.870967742,1.319354839,2.880645161,2.825806452,10.00645161,4.748387097,12.33225806,6.670967742,3.093548387,3.677419355,11.07741935,5.05483871,5.309677419,4.961290323,5.04516129,4.519354839,1.138709677,6.983870968,1.474193548,1.970967742,5.867741935,0.190322581,1.670967742
1/30/2021,4.632258065,8.896774194,4.751612903,4.222580645,2.467741935,3.412903226,4.65483871,6.087096774,0.406451613,121.0032258,2.825806452,3.429032258,4.483870968,9.803225806,6.44516129,2.741935484,6.516129032,0.680645161,6.677419355,2.725806452,4.612903226,0.367741935,3.848387097,4.670967742,8.6,10.63225806,2.874193548,0.993548387,3.125806452,3.916129032,0.864516129,4.512903226,3.129032258,5.04516129,1.780645161,1.064516129,2.825806452,2.619354839,8.248387097,5.232258065,12.59677419,6.296774194,3.322580645,2.890322581,10.9,4.819354839,5.025806452,4.735483871,5.370967742,4.732258065,1.148387097,7.148387097,0.974193548,1.94516129,5.906451613,0.183870968,1.941935484
