city,number_of_hospitals,capacity,admissions,transfers_out,transfers_in,overflow_with_transfers,overflow_without_transfers,required_beds_with_transfers,required_beds_without_transfers
Lehigh Acres,1,8.0,9.00049261083744,0.0,2.274401059379737,0.0,0.0,0.0,0.0
Clermont,1,8.0,57.63061224489796,11.071085007689014,0.0,0.0,44.712,0.0,3.333
Davenport,1,7.5,45.04285714285714,5.01320586223754,0.0,0.0,18.592,0.0,1.849
New Smyrna Beach,1,7.0,14.938775510204081,0.0,5.94071962706137,0.0,0.0,0.0,0.0
Ocoee,1,6.5,19.812244897959182,0.0,3.1662244831235697,0.0,0.0,0.0,0.0
Milton,1,6.5,25.591836734693874,0.0,5.825149980946763,0.0,0.0,0.0,0.0
Bartow,1,6.0,24.697959183673472,0.0,5.5417634994455485,0.0,0.0,0.0,0.0
Crystal River,1,6.0,13.469387755102042,0.0,5.254667753359553,0.0,0.0,0.0,0.0
Cocoa Beach,1,6.0,14.853061224489792,0.0,3.8414283124605477,0.0,0.0,0.0,0.0
Deltona,1,6.0,6.502040816326531,0.0,5.001223425192871,0.0,0.0,0.0,0.0
Palm Bay,1,6.0,27.208163265306126,1.412274272082704,0.0,0.0,3.541,0.0,0.871
Titusville,1,6.0,13.469387755102039,0.0,3.3784626683467502,0.0,0.0,0.0,0.0
Sun City Center,1,6.0,10.481632653061226,0.0,5.497118885997278,0.0,0.0,0.0,0.0
Atlantis,1,5.5,28.8734693877551,3.92312037801055,0.0,0.0,13.979,0.0,1.537
Tarpon Springs,1,5.0,23.320408163265306,0.0,2.370474925708816,0.0,0.0,0.0,0.0
Oviedo,1,5.0,14.755102040816325,0.0,2.4470438031403785,0.0,0.0,0.0,0.0
Palatka,1,5.0,23.45510204081632,1.2963937491913469,0.0,0.0,3.439,0.0,0.455
Niceville,1,4.5,16.751020408163264,0.0,2.005341312836987,0.0,0.0,0.0,0.0
Dade City,1,4.0,14.856734693877552,0.08565082483054454,0.0,0.0,0.086,0.0,0.086
Lake Wales,1,4.0,11.614285714285712,0.0,4.417990236111122,0.0,0.0,0.0,0.0
Jacksonville Beach,1,4.0,16.47515216229111,0.049651842561447494,0.0,0.0,0.083,0.0,0.041
Delray Beach,1,4.0,15.41938775510204,0.0,2.057872922779238,0.0,0.0,0.0,0.0
Englewood,1,4.0,20.24448979591837,0.0,1.269503451150967,0.0,0.0,0.0,0.0
Gulf Breeze,1,4.0,24.440816326530612,5.874828412664764,0.0,0.531,25.679,0.531,1.472
Key West,1,4.0,21.79363594130843,1.4691827950930907,0.0,0.0,4.475,0.0,0.739
Okeechobee,1,4.0,27.483673469387764,8.230523784801916,0.0,0.0,36.206,0.0,2.992
Saint Cloud,1,4.0,26.461224489795917,3.1605459685623187,0.07205097839454964,0.0,14.283,0.0,1.137
Zephyrhills,1,3.5,47.44897959183673,27.942107281596122,0.0,0.0,123.362,0.0,6.214
Sebastian,1,3.5,12.10408163265306,0.0,1.7772832472636442,0.0,0.0,0.0,0.0
