hsa,number_of_hospitals,capacity,admissions,transfers_out,transfers_in,overflow_with_transfers,overflow_without_transfers,required_beds_with_transfers,required_beds_without_transfers
"Largo, FL",1,23.0,56.020408163265294,0.0,1.707292442335158,0.0,0.0,0.0,0.0
"Orange Park, FL",3,22.5,119.97551020408164,3.2869477238707403,0.401363873927058,0.0,13.488,0.0,1.291
"St. Augustine, FL",1,22.0,338.42448979591836,206.06174299376767,0.0,0.0,871.624,0.0,53.479
"Arcadia, FL",1,21.0,73.86122448979592,0.0,2.2711459853115845,0.0,0.0,0.0,0.0
"Eustis, FL",1,20.5,62.96326530612243,0.0,3.035522632078036,0.0,0.0,0.0,0.0
"Brooksville, FL",1,20.5,20.589795918367347,0.0,2.5037637260960404,0.0,0.0,0.0,0.0
"Port Charlotte, FL",2,20.5,88.13265306122447,6.073937275265491,12.269241491160912,0.0,31.089,0.0,1.976
"Sanford, FL",2,20.0,40.12040816326531,0.0,5.3105329012134534,0.0,0.0,0.0,0.0
"Avon Park, FL",1,19.5,81.22653061224487,0.0,3.8313859824646737,0.0,0.0,0.0,0.0
"South Miami, FL",2,18.0,82.60693877551022,2.004207849456402,2.0350599947608585,0.0,7.937,0.0,1.103
"Spring Hill, FL",1,18.0,87.79591836734693,0.0,1.2458732622667155,0.0,0.0,0.0,0.0
"Sebring, FL",2,17.0,56.908163265306115,0.0,4.897615376125039,0.0,0.0,0.0,0.0
"Venice, FL",1,16.5,23.730612244897955,0.0,5.841426925031876,0.0,0.0,0.0,0.0
"Jupiter, FL",1,16.0,29.675510204081633,0.0,0.9690524107785288,0.0,0.0,0.0,0.0
"Hudson, FL",1,16.0,41.871428571428574,0.0,9.885058509931811,0.0,0.0,0.0,0.0
"Margate, FL",1,15.0,79.62857142857142,4.521668498609373,0.0,0.0,17.622,0.0,1.926
"Pompano Beach, FL",1,14.5,51.99795918367345,0.0,0.5378382527370296,0.0,0.0,0.0,0.0
"Fort Walton Beach, FL",1,14.5,34.206122448979585,0.0,4.0931675257392905,0.0,0.0,0.0,0.0
"Safety Harbor, FL",1,12.5,77.54693877551021,9.564706645904401,0.0,0.0,40.677,0.0,3.141
"Inverness, FL",1,12.0,42.3734693877551,0.0,11.732572277420044,0.0,0.0,0.0,0.0
"Vero Beach, FL",1,12.0,38.179591836734694,0.0,1.3650405785024446,0.0,0.0,0.0,0.0
"Dunedin, FL",2,11.0,38.532653061224494,0.43589074596673055,2.080620073550782,0.0,1.154,0.0,0.257
