date,JHH_moderate,SH_moderate,BMC_moderate,HCGH_moderate,SMH_moderate,JHH_pessimistic,SH_pessimistic,BMC_pessimistic,HCGH_pessimistic,SMH_pessimistic,JHH_catastrophic,SH_catastrophic,BMC_catastrophic,HCGH_catastrophic,SMH_catastrophic,JHH_moderate_std,SH_moderate_std,BMC_moderate_std,HCGH_moderate_std,SMH_moderate_std,JHH_pessimistic_std,SH_pessimistic_std,BMC_pessimistic_std,HCGH_pessimistic_std,SMH_pessimistic_std,JHH_catastrophic_std,SH_catastrophic_std,BMC_catastrophic_std,HCGH_catastrophic_std,SMH_catastrophic_std
2021-05-28,0.385,0.5425,0.12249999999999998,0.77,0.034999999999999996,0.2511450381679386,0.5610687022900763,0.0694656488549618,0.5343511450381678,0.04809160305343512,0.252,0.5254117647058825,0.0807058823529413,0.6736470588235296,0.02964705882352942,0.0,0.0,0.0,0.0,0.0,0.38746906544116955,0.6496707938011094,0.22645395527163287,0.634596823664883,0.17706303920681873,0.43206971115101145,0.5993438626898128,0.23853369837303023,0.6920470012239882,0.1489290953189669
2021-05-29,0.385,0.5425,0.12249999999999998,0.77,0.034999999999999996,0.15496183206106887,0.5931297709923663,0.1389312977099236,0.6198473282442749,0.05877862595419849,0.21905882352941158,0.5204705882352941,0.11035294117647029,0.706588235294116,0.021411764705882318,0.0,0.0,0.0,0.0,0.0,0.3153124563161027,0.6205379148530548,0.31684815133622907,0.650944099724504,0.19413941201846519,0.4122124624351524,0.61217434249202,0.28089959294181677,0.743887330085403,0.1205395023479752
2021-05-30,0.385,0.5425,0.12249999999999998,0.77,0.034999999999999996,0.24580152671755726,0.5290076335877864,0.09618320610687038,0.582442748091603,0.02137404580152674,0.2717647058823529,0.5534117647058825,0.09552941176470581,0.7,0.018117647058823547,0.0,0.0,0.0,0.0,0.0,0.40498035801671706,0.5743218436507531,0.29664911808389055,0.6125258575044259,0.1204366315833471,0.41159996704564006,0.6760047910397159,0.25428796035598406,0.747009725111909,0.11114901621799639
2021-05-31,0.385,0.5425,0.12249999999999998,0.77,0.034999999999999996,0.3259541984732824,0.48625954198473254,0.112213740458015,0.6358778625954196,0.032061068702290106,0.21411764705882322,0.4743529411764702,0.08729411764705869,0.6621176470588239,0.01647058823529413,0.0,0.0,0.0,0.0,0.0,0.4760825809210191,0.6349566744585686,0.28446357734181094,0.6668907806580698,0.14633808788305977,0.3845097539270659,0.6341839537525645,0.2549804524701217,0.6940081269530015,0.1061043424553833
2021-06-01,0.385,0.5425,0.12249999999999998,0.77,0.034999999999999996,0.2511450381679386,0.507633587786259,0.1229007633587783,0.5664122137404576,0.026717557251908386,0.21741176470588255,0.5435294117647058,0.08399999999999999,0.6752941176470586,0.03129411764705884,0.0,0.0,0.0,0.0,0.0,0.42432999045081815,0.5805522930612971,0.3175682616999249,0.6816695587539024,0.1341210729558441,0.403196501330457,0.6703549645872043,0.2422016660942354,0.6962599045408825,0.14466015537677687
2021-06-02,0.385,0.5425,0.12249999999999998,0.77,0.034999999999999996,0.23511450381679397,0.4916030534351145,0.09618320610687038,0.5877862595419849,0.016030534351145022,0.2305882352941174,0.46941176470588253,0.1218823529411768,0.6950588235294115,0.02305882352941174,0.0,0.0,0.0,0.0,0.0,0.37312864656693917,0.5449333831320534,0.256042869786188,0.6285841233411348,0.10471101190523538,0.4212093316132296,0.5996515712648609,0.29034054697543143,0.711418836723959,0.12493785306314338
2021-06-03,0.385,0.5425,0.12249999999999998,0.77,0.034999999999999996,0.27251908396946595,0.47022900763358794,0.1229007633587783,0.625190839694656,0.016030534351145022,0.2503529411764703,0.49576470588235283,0.10047058823529419,0.701647058823529,0.018117647058823547,0.0,0.0,0.0,0.0,0.0,0.45416703977444445,0.6889193503013437,0.3175682616999249,0.6429112592297108,0.10471101190523538,0.39545192928307005,0.6222395537763061,0.2546504218929195,0.7353412126094511,0.11114901621799639
2021-06-04,0.385,0.5425,0.12249999999999998,0.77,0.034999999999999996,0.30992366412213707,0.6412213740458015,0.1229007633587783,0.6786259541984734,0.032061068702290106,0.2585882352941174,0.5319999999999999,0.10376470588235288,0.6555294117647058,0.02635294117647058,0.0,0.0,0.0,0.0,0.0,0.4670608051416327,0.629900056171234,0.280012236781732,0.6751881426896283,0.14633808788305977,0.4227393939009114,0.6752860831659774,0.2914223798204375,0.686936088956915,0.1332388130946789
2021-06-05,0.385,0.5425,0.12249999999999998,0.77,0.034999999999999996,0.23511450381679397,0.6465648854961835,0.112213740458015,0.7053435114503819,0.02137404580152674,0.23882352941176446,0.49576470588235283,0.11035294117647029,0.6851764705882355,0.02305882352941174,0.0,0.0,0.0,0.0,0.0,0.38302206583878445,0.757083365877965,0.28446357734181094,0.6892094128959004,0.1204366315833471,0.3743210693719749,0.584007204771407,0.28089959294181754,0.7537773298367201,0.1338482330139955
2021-06-06,0.385,0.5425,0.12249999999999998,0.77,0.034999999999999996,0.2190839694656487,0.5717557251908397,0.08549618320610712,0.7641221374045769,0.016030534351145022,0.2503529411764703,0.4875294117647057,0.10211764705882319,0.6736470588235296,0.01647058823529413,0.0,0.0,0.0,0.0,0.0,0.4064582650081107,0.696257696563905,0.28716092182537617,0.6612581926117783,0.10471101190523538,0.4396320575444448,0.5800687705321795,0.2778408097651137,0.732513556684546,0.1061043424553833
