date,JHH_moderate,SH_moderate,BMC_moderate,HCGH_moderate,SMH_moderate,JHH_pessimistic,SH_pessimistic,BMC_pessimistic,HCGH_pessimistic,SMH_pessimistic,JHH_catastrophic,SH_catastrophic,BMC_catastrophic,HCGH_catastrophic,SMH_catastrophic,JHH_moderate_std,SH_moderate_std,BMC_moderate_std,HCGH_moderate_std,SMH_moderate_std,JHH_pessimistic_std,SH_pessimistic_std,BMC_pessimistic_std,HCGH_pessimistic_std,SMH_pessimistic_std,JHH_catastrophic_std,SH_catastrophic_std,BMC_catastrophic_std,HCGH_catastrophic_std,SMH_catastrophic_std
2021-03-31,39.267422907489,27.111852394916898,26.360469448584197,41.2125,9.69035294117647,47.4189388627498,30.8618866020536,29.443423741759,52.132184114013995,10.820610687022901,49.939561613312996,32.0834853420195,32.1111124401914,59.977848262531296,10.952886395713199,19.8934034292778,25.997968670648103,12.6762573340872,36.2373771125892,9.40741064267953,30.7797562042566,35.993268993726204,18.8717667794082,56.591944779920304,11.497267874583098,39.193691039516004,45.0100861284135,25.9429999625876,72.5949595131287,14.1119039298725
2021-04-01,37.3298365122616,25.4778298670303,25.8242163009404,38.3564256788947,9.2823275862069,45.82193905971,29.190002279794896,28.587166574754,49.182245462722996,10.3404911681328,47.989079071241996,29.831148296179105,30.800852767142402,56.022380688124294,10.2931920945019,18.7619295382964,25.315496736189104,12.322337440599501,34.5563941261237,9.02326853196778,30.288502637031698,34.5909205889622,18.4878845828162,55.10321933069961,11.264858364505901,37.8105592252659,43.106750183917704,24.7265011999615,69.0174917500922,13.3661751470749
2021-04-02,36.1370839193624,23.9853191489362,24.610746329526897,36.3579756884148,8.93644617380026,44.0199345849271,27.6465326396339,27.637992422686896,46.329272083233604,9.7732943238186,46.2212288215927,27.577234783499797,29.4693067508883,52.6323956589188,9.62942406976434,18.387767673102697,24.7860343742197,11.731128462343301,33.6530459245519,8.8289297199604,29.352918875512902,33.5849912091716,17.7974835993618,53.8101614666793,10.949135729286802,36.3762562964542,40.91572799342371,23.576666196206304,66.3027948181073,12.770635868445599
2021-04-03,34.811794060370005,22.883309037900897,24.1507221750212,34.9639825139382,8.28607336956522,42.7434768131445,25.863824796132498,27.0329557580235,43.86611861421021,9.37685767935159,44.3121207481133,25.5949831294851,28.437177301526898,49.6225847457627,9.00740150975645,17.8794400080092,23.700197783984798,11.3158075275254,32.5272097635195,8.34082579844466,28.5692568288972,32.6715720191739,17.4785924653297,52.4803847301351,10.7388438268994,34.819033414057806,39.2096944442099,22.602284356486802,64.261610898686,12.1310637318595
2021-04-04,33.5529336734694,21.376443941109898,23.5528991971454,32.7377186009539,7.81770981507823,41.5789720448338,24.5112432525809,26.6321040748307,41.511046562612,8.883241703911741,42.6721742245211,23.8917341622996,27.5853973321671,46.6269375848308,8.44240804378262,17.081788548041402,22.506443521800605,10.711675872616802,31.536447168316197,8.00796478513736,28.0194227007271,31.8451562937259,17.2347885061663,50.995985381475705,10.267757297859301,33.4546617747612,38.0037445614513,21.8590028486281,61.798374061767994,11.5595524392234
2021-04-05,32.7073583906829,19.863343195266303,22.8328139321723,31.0078268109908,7.3954172876304005,40.1024496278351,22.961868193266696,26.1512756829984,39.264631043257,8.47680775983693,41.10571655277771,22.105031825440303,26.377243511406498,43.6764329119561,7.924547135815611,16.8193341128595,21.9982811828561,10.4240107444304,30.7278273719441,7.70677461717936,27.0956453915421,31.0237610327318,17.0535547092378,49.505833738567496,9.79173014021244,31.9535346042096,36.6245687575731,20.879685529721698,59.3056938279557,11.171407893603199
2021-04-06,31.389579831932803,18.863323782235,22.351827485380102,29.2061717612809,6.98765432098765,39.056180527655,21.6310847890311,25.377702998793602,37.1614844675806,8.057950300471031,39.6151679297946,20.4798950379847,25.3658128830025,41.173975240932705,7.41255183480428,15.985618536672302,21.8263602096181,10.0732008319104,29.0647552888374,7.42967024840268,26.472239077144103,29.900651300540105,16.4206191861341,48.283967631232,9.50188214159982,30.4620032421128,35.1169588266386,19.931509855530397,57.397110183697,10.6871070012124
2021-04-07,30.294822571262397,17.6352649719948,21.7252286585366,27.745401085645398,6.5898178807947,37.9259722701974,20.494831474902803,24.6742946208088,35.3252073354334,7.58789802510257,38.0651421795975,19.074477100625103,24.4826316034956,38.567230009594496,6.97485886662358,15.5399485198633,21.1694945617509,9.84984136928103,27.6772018094315,7.038066140638349,26.306145402529896,29.311669022976698,15.9561377980529,47.6420965193584,9.03504046364541,29.0871796870258,33.9122053131929,19.1157108883809,54.761685087597705,10.257146651942099
2021-04-08,29.0667070952092,16.0499097472924,20.7458511777302,26.039203288017696,6.1708185053380795,36.6172030917227,19.0748029115274,24.1113740458015,33.2580899961861,7.15538504133214,36.8113531753137,17.44075661439,23.6779341423002,36.027854804221,6.59513025956869,14.436065946094901,19.9160582194369,8.94842863300591,26.5468924735081,6.8098733468398605,25.3822361185571,28.4204901170457,15.623158944039199,46.241828921781995,8.639535346534599,27.8071460283542,32.3027789949386,18.297246412987302,52.648359681595295,9.79156447908591
2021-04-09,27.9088403041825,14.916631205673802,20.4166015625,24.984545748464303,5.78861111111111,35.0402828614575,17.8522565883323,23.2110746308933,31.249672070672197,6.8554862770235,35.64574917637739,16.000586833621398,22.798785160107197,33.6622590381649,6.133087358004401,13.7075709007833,19.020367372897898,8.61361567519703,26.232422686438998,6.44937012428346,24.2486488257295,27.540408461858803,15.2031405181722,44.4197049935473,8.54969329301916,26.6854651157312,30.7753529208821,17.597109545600397,50.508183666620205,9.23213883903684
