hospital_id,date,weeks_out,admissions_icu,admissions_acute,admissions_combined_ped,admissions_icu_lb,admissions_acute_lb,admissions_combined_ped_lb,admissions_icu_ub,admissions_acute_ub,admissions_combined_ped_ub,admissions_combined,admissions_combined_lb,admissions_combined_ub
010022,2022-01-15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010022,2022-01-22,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010022,2022-01-29,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010023,2022-01-01,0,647.3076923076923,647.3076923076922,0.0,647.3076923076923,647.3076923076922,0.0,647.3076923076923,647.3076923076922,0.0,1294.6153846153843,1294.6153846153843,1294.6153846153843
010023,2022-01-08,1,592.9195804195804,592.9195804195803,0.0,472.84965034965035,472.84965034965023,0.0,710.9090909090909,710.9090909090908,0.0,1185.8391608391607,945.6993006993006,1421.8181818181815
010023,2022-01-15,2,652.6573426573426,652.6573426573425,0.0,517.4300699300699,517.4300699300697,0.0,756.9755244755245,756.9755244755243,0.0,1305.314685314685,1034.8601398601395,1513.9510489510487
010023,2022-01-22,3,622.6398601398602,622.6398601398599,0.0,428.2692307692308,428.26923076923066,0.0,776.8881118881119,776.8881118881117,0.0,1245.27972027972,856.5384615384614,1553.7762237762236
010023,2022-01-29,4,636.6083916083916,636.6083916083915,0.0,509.10839160839157,509.10839160839146,0.0,748.6538461538461,748.653846153846,0.0,1273.216783216783,1018.216783216783,1497.307692307692
010024,2022-01-01,0,913.8461538461538,913.8461538461538,0.0,913.8461538461538,913.8461538461538,0.0,913.8461538461538,913.8461538461538,0.0,1827.6923076923076,1827.6923076923076,1827.6923076923076
010024,2022-01-08,1,837.0629370629371,837.0629370629371,0.0,667.5524475524476,667.5524475524476,0.0,1003.6363636363636,1003.6363636363636,0.0,1674.1258741258741,1335.1048951048951,2007.2727272727273
010024,2022-01-15,2,921.3986013986014,921.3986013986014,0.0,730.4895104895105,730.4895104895105,0.0,1068.6713286713286,1068.6713286713286,0.0,1842.7972027972028,1460.979020979021,2137.3426573426573
010024,2022-01-22,3,879.020979020979,879.020979020979,0.0,604.6153846153846,604.6153846153846,0.0,1096.7832167832169,1096.7832167832169,0.0,1758.041958041958,1209.2307692307693,2193.5664335664337
010024,2022-01-29,4,898.7412587412588,898.7412587412588,0.0,718.7412587412588,718.7412587412588,0.0,1056.923076923077,1056.923076923077,0.0,1797.4825174825176,1437.4825174825176,2113.846153846154
010029,2022-01-01,0,692.0,692.0,0.0,692.0,692.0,0.0,692.0,692.0,0.0,1384.0,1384.0,1384.0
010029,2022-01-08,1,650.0,650.0,0.0,455.0,455.0,0.0,790.0,790.0,0.0,1300.0,910.0,1580.0
010029,2022-01-15,2,692.0,692.0,0.0,577.0,577.0,0.0,905.0,905.0,0.0,1384.0,1154.0,1810.0
010029,2022-01-22,3,775.0,775.0,0.0,548.0,548.0,0.0,1074.0,1074.0,0.0,1550.0,1096.0,2148.0
010029,2022-01-29,4,692.0,692.0,0.0,506.0,506.0,0.0,888.0,888.0,0.0,1384.0,1012.0,1776.0
010033,2022-01-01,0,2570.5555555555557,2570.555555555555,0.0,2570.5555555555557,2570.555555555555,0.0,2570.5555555555557,2570.555555555555,0.0,5141.111111111111,5141.111111111111,5141.111111111111
010033,2022-01-08,1,2528.5555555555557,2528.555555555555,0.0,2161.0555555555557,2161.055555555555,0.0,2763.8333333333335,2763.833333333333,0.0,5057.111111111111,4322.111111111111,5527.666666666666
010033,2022-01-15,2,2518.8333333333335,2518.833333333333,0.0,2026.5,2026.4999999999998,0.0,3027.5,3027.4999999999995,0.0,5037.666666666666,4053.0,6055.0
010033,2022-01-22,3,2450.388888888889,2450.3888888888887,0.0,1676.5,1676.4999999999998,0.0,3311.388888888889,3311.3888888888887,0.0,4900.777777777777,3353.0,6622.777777777777
010033,2022-01-29,4,2570.5555555555557,2570.555555555555,0.0,2290.5555555555557,2290.555555555555,0.0,3088.1666666666665,3088.166666666666,0.0,5141.111111111111,4581.111111111111,6176.333333333332
010034,2022-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010034,2022-01-08,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010034,2022-01-15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010034,2022-01-22,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010034,2022-01-29,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010035,2022-01-01,0,328.0,328.0,0.0,328.0,328.0,0.0,328.0,328.0,0.0,656.0,656.0,656.0
010035,2022-01-08,1,328.0,328.0,0.0,285.0,285.0,0.0,387.0,387.0,0.0,656.0,570.0,774.0
010035,2022-01-15,2,369.0,369.0,0.0,276.0,276.0,0.0,457.0,457.0,0.0,738.0,552.0,914.0
010035,2022-01-22,3,432.0,432.0,0.0,333.0,333.0,0.0,484.0,484.0,0.0,864.0,666.0,968.0
010035,2022-01-29,4,344.0,344.0,0.0,230.0,230.0,0.0,494.0,494.0,0.0,688.0,460.0,988.0
010036,2022-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010036,2022-01-08,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010036,2022-01-15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010036,2022-01-22,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010036,2022-01-29,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010038,2022-01-01,0,194.79999999999998,194.79999999999995,0.0,194.79999999999998,194.79999999999995,0.0,194.79999999999998,194.79999999999995,0.0,389.5999999999999,389.5999999999999,389.5999999999999
010038,2022-01-08,1,176.39999999999998,176.39999999999995,0.0,129.6,129.59999999999997,0.0,210.39999999999998,210.39999999999995,0.0,352.79999999999995,259.19999999999993,420.79999999999995
010038,2022-01-15,2,202.79999999999998,202.79999999999995,0.0,130.39999999999998,130.39999999999998,0.0,286.79999999999995,286.79999999999995,0.0,405.5999999999999,260.79999999999995,573.5999999999999
010038,2022-01-22,3,194.79999999999998,194.79999999999995,0.0,144.0,143.99999999999997,0.0,260.0,259.99999999999994,0.0,389.5999999999999,288.0,520.0
010038,2022-01-29,4,194.79999999999998,194.79999999999995,0.0,132.39999999999998,132.39999999999998,0.0,258.0,257.99999999999994,0.0,389.5999999999999,264.79999999999995,516.0
010039,2022-01-01,0,1956.829865361077,1956.829865361077,2317.0,1956.829865361077,1956.829865361077,2317.0,1956.829865361077,1956.829865361077,2317.0,3913.659730722154,3913.659730722154,3913.659730722154
010039,2022-01-08,1,1841.970624235006,1841.970624235006,2181.0,1343.6842105263158,1343.6842105263158,1591.0,2191.615667074663,2191.615667074663,2595.0,3683.941248470012,2687.3684210526317,4383.231334149326
010039,2022-01-15,2,2010.0367197062424,2010.0367197062424,2380.0,1467.8335373317013,1467.8335373317013,1738.0,2350.391676866585,2350.391676866585,2783.0,4020.0734394124847,2935.6670746634027,4700.78335373317
010039,2022-01-22,3,1996.5238678090575,1996.5238678090575,2364.0,1386.7564259485923,1386.7564259485923,1642.0,2513.390452876377,2513.390452876377,2976.0,3993.047735618115,2773.5128518971846,5026.780905752754
010039,2022-01-29,4,1823.390452876377,1823.390452876377,2159.0,1293.0110159118726,1293.0110159118726,1531.0,2435.691554467564,2435.691554467564,2884.0,3646.780905752754,2586.0220318237452,4871.383108935128
010040,2022-01-01,0,318.0833333333333,318.08333333333337,0.0,318.0833333333333,318.08333333333337,0.0,318.0833333333333,318.08333333333337,0.0,636.1666666666667,636.1666666666667,636.1666666666667
010040,2022-01-08,1,342.8333333333333,342.83333333333337,0.0,279.5833333333333,279.58333333333337,0.0,424.41666666666663,424.4166666666667,0.0,685.6666666666667,559.1666666666667,848.8333333333333
010040,2022-01-15,2,457.41666666666663,457.4166666666667,0.0,349.25,349.25,0.0,555.5,555.5,0.0,914.8333333333333,698.5,1111.0
010040,2022-01-22,3,510.5833333333333,510.58333333333337,0.0,431.75,431.75000000000006,0.0,602.25,602.25,0.0,1021.1666666666667,863.5,1204.5
010040,2022-01-29,4,556.4166666666666,556.4166666666667,0.0,388.66666666666663,388.6666666666667,0.0,676.5,676.5,0.0,1112.8333333333335,777.3333333333333,1353.0
010044,2022-01-01,0,21.0,21.0,0.0,21.0,21.0,0.0,21.0,21.0,0.0,42.0,42.0,42.0
010044,2022-01-08,1,28.0,28.0,0.0,17.0,17.0,0.0,39.5,39.5,0.0,56.0,34.0,79.0
010044,2022-01-15,2,32.0,32.0,0.0,22.0,22.0,0.0,45.0,45.0,0.0,64.0,44.0,90.0
010044,2022-01-22,3,29.0,29.0,0.0,21.5,21.5,0.0,39.5,39.5,0.0,58.0,43.0,79.0
010044,2022-01-29,4,26.0,26.0,0.0,18.0,18.0,0.0,45.5,45.5,0.0,52.0,36.0,91.0
010045,2022-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010045,2022-01-08,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010045,2022-01-15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010045,2022-01-22,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010045,2022-01-29,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010046,2022-01-01,0,28.916666666666664,28.916666666666664,0.0,28.916666666666664,28.916666666666664,0.0,28.916666666666664,28.916666666666664,0.0,57.83333333333333,57.83333333333333,57.83333333333333
010046,2022-01-08,1,31.166666666666664,31.166666666666664,0.0,25.416666666666664,25.416666666666664,0.0,38.58333333333333,38.58333333333333,0.0,62.33333333333333,50.83333333333333,77.16666666666666
010046,2022-01-15,2,41.58333333333333,41.58333333333333,0.0,31.75,31.75,0.0,50.5,50.5,0.0,83.16666666666666,63.5,101.0
010046,2022-01-22,3,46.416666666666664,46.416666666666664,0.0,39.25,39.25,0.0,54.75,54.75,0.0,92.83333333333333,78.5,109.5
010046,2022-01-29,4,50.58333333333333,50.58333333333333,0.0,35.33333333333333,35.33333333333333,0.0,61.5,61.5,0.0,101.16666666666666,70.66666666666666,123.0
010049,2022-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010049,2022-01-08,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010049,2022-01-15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010049,2022-01-22,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010049,2022-01-29,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010051,2022-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010051,2022-01-08,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
