,county_name,state,fips,forecasted_hospitalizations_2021-03-02,forecasted_hospitalizations_2021-03-03,forecasted_hospitalizations_2021-03-04,forecasted_hospitalizations_2021-03-05,forecasted_hospitalizations_2021-03-06,forecasted_hospitalizations_2021-03-07,forecasted_hospitalizations_2021-03-08,forecasted_hospitalizations_2021-03-09,forecasted_hospitalizations_2021-03-10,forecasted_hospitalizations_2021-03-11,forecasted_hospitalizations_2021-03-12,forecasted_hospitalizations_2021-03-13,forecasted_hospitalizations_2021-03-14,forecasted_hospitalizations_2021-03-15,forecasted_hospitalizations_2021-03-16,forecasted_hospitalizations_2021-03-17,forecasted_hospitalizations_2021-03-18,forecasted_hospitalizations_2021-03-19,forecasted_hospitalizations_2021-03-20,forecasted_hospitalizations_2021-03-21,forecasted_hospitalizations_2021-03-22,forecasted_hospitalizations_2021-03-23,forecasted_hospitalizations_2021-03-24,forecasted_hospitalizations_2021-03-25,forecasted_hospitalizations_2021-03-26,forecasted_hospitalizations_2021-03-27
46,"Hertford County, North Carolina",North Carolina,37091,0.21406015244057913,0.21537194167559107,0.21382164530694062,0.21191358823783235,0.20225404932547197,0.20562912066825298,0.21309297259813512,0.20189719470331188,0.19779207614187672,0.19816526873837081,0.19953364159218256,0.18796467110086523,0.18449347708022787,0.1929143411793254,0.18092098928061073,0.18589695443007745,0.18538659903013216,0.1871728429299407,0.1790071565308158,0.17125936892754698,0.18291847876376421,0.16996391227907837,0.17372073655963727,0.17721846951050244,0.17812528916443046,0.17631164985657444
47,"Hoke County, North Carolina",North Carolina,37093,0.5875821188449903,0.5911829006317844,0.5869274312473917,0.5816899304666006,0.5551750827638461,0.541164690727579,0.560807692205894,0.5313431899884214,0.5205395391753482,0.521521689249264,0.5251229061869551,0.49467625389556674,0.4813432139323912,0.5033132361450731,0.47202259844822325,0.4850048843011716,0.4836733678034333,0.48833367554551727,0.46702941158170463,0.461710240039101,0.4931428584986464,0.45821772687692924,0.4683460150472272,0.4777758005850908,0.48022055979861106,0.4753310413715706
48,"Hyde County, North Carolina",North Carolina,37095,0.03661555239115168,0.036839937391877416,0.036574755118292473,0.036248376935418686,0.0345960873846202,0.03354233883241006,0.034759846594022044,0.03293358495160407,0.032263955682717484,0.032324831070798074,0.03254804082709361,0.03066090379659504,0.02993667741301811,0.0313030817762679,0.029356990713457595,0.030164411473559746,0.03008159908790824,0.030371442437688495,0.029046444267264458,0.0312616308359808,0.033389881044179184,0.031025158590625417,0.03171092810215602,0.03234940316461553,0.0325149337363643,0.032183872592866765
49,"Iredell County, North Carolina",North Carolina,37097,2.6357162191015293,2.6518682404999234,2.6327794879381856,2.6092856386314307,2.4903480265159854,2.6069272410555717,2.701552549260856,2.5596145869529296,2.5075706674400235,2.5123019328502876,2.5296499060212563,2.3829806783030665,2.203777070158323,2.3043644053107775,2.1611036552451606,2.2205416260170656,2.214445423886614,2.235782131343195,2.1382428972559664,2.0551124271305636,2.1950217451651706,2.0395669473489404,2.0846488387156477,2.1266216341260296,2.1375034699731654,2.1157397982788932
50,"Jackson County, North Carolina",North Carolina,37099,0.6382805760019696,0.6421920447128454,0.6375693998727197,0.6318799908387187,0.6030773576040894,0.6724173209413573,0.6968244832259801,0.660213739799046,0.6467898005425035,0.6480101586567346,0.652484805075582,0.6146537035344167,0.67992138897259,0.7109551453157373,0.6667555529482246,0.685093681696448,0.6832128479786815,0.6897957659908642,0.6597024265066003,0.7264408396267377,0.7758959648660769,0.7209458257112555,0.7368813660661537,0.7517179036379555,0.755564413378793,0.747871393897118
51,"Johnston County, North Carolina",North Carolina,37101,2.947833625583028,2.9658983441799163,2.944549131292685,2.9182731769699393,2.785251158211039,2.874724274193335,2.979069982875489,2.822551419852258,2.7651612800770735,2.770378565511181,2.78950861210291,2.6277727636455714,2.451744259946152,2.563649599611744,2.4042692673607498,2.4703951498904173,2.463613008092503,2.487350504385204,2.3788362356185697,2.528658174228638,2.7008058562865638,2.5095306539999798,2.565000462663089,2.6166447672804667,2.6300340314405277,2.6032555031204057
52,"Jones County, North Carolina",North Carolina,37103,0.14505391908802404,0.1459428288985913,0.14489229912246634,0.14359933939800484,0.13705373079291852,0.13927362428239828,0.1443289282490915,0.13674597229905167,0.13396555511737038,0.13421832031570505,0.13514512604293216,0.12730940489455764,0.11696190245086144,0.12230041252123271,0.11469707999676454,0.11785165412925666,0.11752810806438567,0.1186605192914341,0.11348378225349834,0.09854209720037425,0.10525071198708656,0.09779669555740621,0.09995836032201352,0.1019709447580272,0.10249272590810483,0.10144916360794957
53,"Lee County, North Carolina",North Carolina,37105,0.8582524533002919,0.8635119390865333,0.857296183157339,0.8496460220137151,0.8109170812241198,0.787515781282671,0.8161007461205175,0.7732232988637476,0.7575015682029321,0.7589308164448244,0.764171393331763,0.7198646978331008,0.6707407058916749,0.7013554269074774,0.6577526424304253,0.6758431593943087,0.6739877217569873,0.680481753487612,0.6507947512904702,0.6139706627538588,0.6557689680850596,0.6093264066059477,0.6227947494348901,0.6353342410342503,0.6385852203377882,0.6320832617307125
54,"Lenoir County, North Carolina",North Carolina,37107,0.6987287364583682,0.7030106395787259,0.6979502086183031,0.6917219858977828,0.660191608375149,0.6656864168278305,0.6898492631736681,0.6536049936549115,0.6403154281647008,0.6415235704819926,0.6459534256453963,0.6085010138093476,0.5430374042361424,0.5678233438485805,0.5325221571278355,0.5471683941715488,0.5456662160132192,0.5509238395673727,0.5268889890340995,0.46986544808326985,0.5018532622493017,0.46631124650926625,0.4766184310738766,0.4862147753236861,0.4887027164254887,0.4837268342218837
55,"Lincoln County, North Carolina",North Carolina,37109,1.136815404712266,1.1437819615099458,1.135548758021779,1.1254155844978813,1.0741163935331492,1.0735792061075728,1.1125475983437825,1.054095009989468,1.0326623942595528,1.0346108138713632,1.0417550191146683,0.9813540111485436,0.9157731373213052,0.9575719112239375,0.8980403241504916,0.9227395996384106,0.9202063406140086,0.9290727471994155,0.8885406028089843,0.8299492494181122,0.8864510893936265,0.8236712671986106,0.8418774156351653,0.8588279676278194,0.8632225551814707,0.8544333800741685
